Temperature (K),Luminosity(L/Lo),Radius(R/Ro),Absolute magnitude(Mv),Star type,Star color,Spectral Class,delta_T
3068,0.0024,0.17,16.12,0,Red,M,7429.4625
3042,0.0005,0.1542,16.6,0,Red,M,7455.4625
2600,0.0003,0.102,18.7,0,Red,M,7897.4625
2800,0.0002,0.16,16.65,0,Red,M,7697.4625
1939,0.000138,0.103,20.06,0,Red,M,8558.4625
2840,0.00065,0.11,16.98,0,Red,M,7657.4625
2637,0.00073,0.127,17.22,0,Red,M,7860.4625
2600,0.0004,0.096,17.4,0,Red,M,7897.4625
2650,0.00069,0.11,17.45,0,Red,M,7847.4625
2700,0.00018,0.13,16.05,0,Red,M,7797.4625
3600,0.0029,0.51,10.69,1,Red,M,6897.4625
3129,0.0122,0.3761,11.79,1,Red,M,7368.4625
3134,0.0004,0.196,13.21,1,Red,M,7363.4625
3628,0.0055,0.393,10.48,1,Red,M,6869.4625
2650,0.0006,0.14,11.782,1,Red,M,7847.4625
3340,0.0038,0.24,13.07,1,Red,M,7157.4625
2799,0.0018,0.16,14.79,1,Red,M,7698.4625
3692,0.00367,0.47,10.8,1,Red,M,6805.4625
3192,0.00362,0.1967,13.53,1,Red,M,7305.4625
3441,0.039,0.351,11.18,1,Red,M,7056.4625
25000,0.056,0.0084,10.58,2,Blue White,B,14502.5375
7740,0.00049,0.01234,14.02,2,White,A,2757.4624999999996
7220,0.00017,0.011,14.23,2,White,F,3277.4624999999996
8500,0.0005,0.01,14.5,2,White,A,1997.4624999999996
16500,0.013,0.014,11.89,2,Blue White,B,6002.5375
12990,8.5e-05,0.00984,12.23,2,Yellowish White,F,2492.5375000000004
8570,0.00081,0.0097,14.2,2,Blue white,A,1927.4624999999996
7700,0.00011,0.0128,14.47,2,Yellowish White,F,2797.4624999999996
11790,0.00015,0.011,12.59,2,Yellowish White,F,1292.5375000000004
7230,8e-05,0.013,14.08,2,Pale yellow orange,F,3267.4624999999996
30000,28840.0,6.3,-4.2,3,Blue-white,B,19502.5375
15276,1136.0,7.2,-1.97,3,Blue-white,B,4778.5375
9700,74.0,2.89,0.16,3,Whitish,B,797.4624999999996
5800,0.81,0.9,5.05,3,yellow-white,F,4697.4625
8052,8.7,1.8,2.42,3,Whitish,A,2445.4624999999996
6757,1.43,1.12,2.41,3,yellow-white,F,3740.4624999999996
6380,1.35,0.98,2.93,3,yellow-white,F,4117.4625
5936,1.357,1.106,4.46,3,yellow-white,F,4561.4625
5587,0.819,0.99,5.03,3,yellow-white,F,4910.4625
3826,200000.0,19.0,-6.93,4,Red,M,6671.4625
3365,340000.0,23.0,-6.2,4,Red,M,7132.4625
3270,150000.0,88.0,-6.02,4,Red,M,7227.4625
3200,195000.0,17.0,-7.22,4,Red,M,7297.4625
3008,280000.0,25.0,-6.0,4,Red,M,7489.4625
3600,320000.0,29.0,-6.6,4,Red,M,6897.4625
3575,123000.0,45.0,-6.78,4,Red,M,6922.4625
3574,200000.0,89.0,-5.24,4,Red,M,6923.4625
3625,184000.0,84.0,-6.74,4,Red,M,6872.4625
3490,270000.0,1520.0,-9.4,5,Red,M,7007.4625
3750,283000.0,1260.0,-7.63,5,Red,M,6747.4625
3834,272000.0,1183.0,-9.2,5,Red,M,6663.4625
3749,550000.0,1648.0,-8.05,5,Orange,M,6748.4625
3650,310000.0,1324.0,-7.79,5,Red,M,6847.4625
3450,263000.0,1349.0,-11.75,5,Red,M,7047.4625
3660,363000.0,1673.0,-11.92,5,Red,M,6837.4625
3450,174000.0,1284.0,-11.28,5,Red,M,7047.4625
3752,209000.0,955.0,-11.24,5,Red,M,6745.4625
3535,195000.0,1546.0,-11.36,5,Red,M,6962.4625
3341,0.0056,0.057,16.23,0,Red,M,7156.4625
3432,0.00067,0.19,16.94,0,Red,M,7065.4625
2983,0.00024,0.094,16.09,0,Red,M,7514.4625
2835,0.00034,0.0918,16.96,0,Red,M,7662.4625
2935,0.00014,0.116,18.89,0,Red,M,7562.4625
3295,0.00098,0.132,17.13,0,Red,M,7202.4625
2945,0.00032,0.093,18.34,0,Red,M,7552.4625
2817,0.00098,0.0911,16.45,0,Red,M,7680.4625
2774,0.00036,0.118,17.39,0,Red,M,7723.4625
2871,0.00072,0.12,19.43,0,Red,M,7626.4625
3345,0.021,0.273,12.3,1,Red,M,7152.4625
3607,0.022,0.38,10.12,1,Red,M,6890.4625
3304,0.0085,0.18,13.2,1,Red,M,7193.4625
3150,0.0088,0.35,11.94,1,Red,M,7347.4625
3550,0.004,0.291,10.89,1,Red,M,6947.4625
3180,0.001,0.35,11.76,1,Red,M,7317.4625
2890,0.0034,0.24,13.46,1,Red,M,7607.4625
3342,0.0015,0.307,11.87,1,Red,M,7155.4625
2621,0.0006,0.098,12.81,1,Red,M,7876.4625
3158,0.00135,0.161,13.98,1,Red,M,7339.4625
7100,0.00029,0.012,14.09,2,White-Yellow,F,3397.4624999999996
10574,0.00014,0.0092,12.02,2,White,F,76.53750000000036
8930,0.00056,0.0095,13.78,2,white,A,1567.4624999999996
17200,0.00098,0.015,12.45,2,Blue White,B,6702.5375
14100,0.00067,0.0089,12.17,2,Blue White,B,3602.5375000000004
9675,0.00045,0.0109,13.98,2,Blue White,A,822.4624999999996
12010,0.00078,0.0092,12.13,2,Blue White,B,1512.5375000000004
10980,0.00074,0.0087,11.19,2,Blue White,B,482.53750000000036
13720,0.00018,0.00892,12.97,2,white,F,3222.5375000000004
19860,0.0011,0.0131,11.34,2,Blue ,B,9362.5375
5300,0.59,0.91,5.49,3,yellow-white,F,5197.4625
4526,0.153,0.865,6.506,3,yellowish,K,5971.4625
4077,0.085,0.795,6.228,3,yellowish,K,6420.4625
4980,0.357,1.13,4.78,3,Yellowish,K,5517.4625
9030,45.0,2.63,1.45,3,Blue-white,A,1467.4624999999996
11250,672.0,6.98,-2.3,3,Blue-white,A,752.5375000000004
5112,0.63,0.876,4.68,3,Orange-Red,K,5385.4625
7720,7.92,1.34,2.44,3,yellow-white,F,2777.4624999999996
12098,689.0,7.01,0.02,3,Blue-white,A,1600.5375000000004
23000,127000.0,36.0,-5.76,4,Blue,O,12502.5375
17120,235000.0,83.0,-6.89,4,Blue,O,6622.5375
11096,112000.0,12.0,-5.91,4,Blue,O,598.5375000000004
14245,231000.0,42.0,-6.12,4,Blue,O,3747.5375000000004
24630,363000.0,63.0,-5.83,4,Blue,O,14132.5375
12893,184000.0,36.0,-6.34,4,Blue,O,2395.5375000000004
24345,142000.0,57.0,-6.24,4,Blue,O,13847.5375
3459,100000.0,1289.0,-10.7,5,Red,M,7038.4625
3605,126000.0,1124.0,-10.81,5,Red,M,6892.4625
3615,200000.0,1635.0,-11.33,5,Red,M,6882.4625
3399,117000.0,1486.0,-10.92,5,Red,M,7098.4625
3610,132000.0,1522.0,-10.86,5,Red,M,6887.4625
3553,145000.0,1324.0,-11.03,5,Red,M,6944.4625
4015,282000.0,1534.0,-11.39,5,Red,K,6482.4625
3625,74000.0,876.0,-10.25,5,Red,M,6872.4625
6850,229000.0,1467.0,-10.07,5,Red,G,3647.4624999999996
3780,200000.0,1324.0,-10.7,5,Red,M,6717.4625
3323,0.00043,0.0912,17.16,0,Red,M,7174.4625
3531,0.00093,0.0976,19.94,0,Red,M,6966.4625
3218,0.00054,0.11,20.02,0,Red,M,7279.4625
3146,0.00015,0.0932,16.92,0,Red,M,7351.4625
3511,0.00064,0.109,17.12,0,Red,M,6986.4625
3225,0.00076,0.121,19.63,0,Red,M,7272.4625
2935,0.00087,0.0932,16.88,0,Red,M,7562.4625
2861,0.00019,0.0899,16.71,0,Red,M,7636.4625
2856,0.000896,0.0782,19.56,0,Red,M,7641.4625
2731,0.000437,0.0856,18.09,0,Red,M,7766.4625
3095,0.00019,0.492,10.87,1,Red,M,7402.4625
3607,0.00023,0.38,10.34,1,Red,M,6890.4625
3100,0.008,0.31,11.17,1,Red,M,7397.4625
2989,0.0087,0.34,13.12,1,Red,M,7508.4625
3542,0.0009,0.62,14.23,1,Red,M,6955.4625
3243,0.0023,0.73,14.75,1,Red,M,7254.4625
3091,0.0081,0.24,11.43,1,Red,M,7406.4625
3598,0.0011,0.56,14.26,1,Red,M,6899.4625
3324,0.0034,0.34,12.23,1,Red,M,7173.4625
3541,0.0013,0.256,14.33,1,Red,M,6956.4625
13420,0.00059,0.00981,13.67,2,Blue White,B,2922.5375000000004
21020,0.0015,0.0112,11.52,2,Blue,B,10522.5375
18290,0.0013,0.00934,12.78,2,Blue,B,7792.5375
14520,0.00082,0.00972,11.92,2,Blue White,B,4022.5375000000004
11900,0.00067,0.00898,11.38,2,Blue white ,B,1402.5375000000004
8924,0.00028,0.00879,14.87,2,Blue white,A,1573.4624999999996
12912,0.00071,0.00945,12.83,2,Blue white,B,2414.5375000000004
14732,0.00011,0.00892,12.89,2,white,F,4234.5375
7723,0.00014,0.00878,14.81,2,White,A,2774.4624999999996
12984,0.00088,0.00996,11.23,2,Blue White,B,2486.5375000000004
29560,188000.0,6.02,-4.01,3,Blue-white,B,19062.5375
8945,38.0,2.487,0.12,3,Blue-White,A,1552.4624999999996
14060,1092.0,5.745,-2.04,3,Blue-white,A,3562.5375000000004
16390,1278.0,5.68,-3.32,3,Blue-white,B,5892.5375
25070,14500.0,5.92,-3.98,3,Blue-white,B,14572.5375
28700,16790.0,6.4,-4.09,3,Blue-white,B,18202.5375
26140,14520.0,5.49,-3.8,3,Blue-white,B,15642.5375
20120,4720.0,6.78,-3.4,3,Blue-white,B,9622.5375
13023,998.0,6.21,-1.38,3,Blue-white,A,2525.5375000000004
25390,223000.0,57.0,-5.92,4,Blue,O,14892.5375
11567,251000.0,36.0,-6.245,4,Blue,O,1069.5375000000004
12675,452000.0,83.0,-5.62,4,Blue,O,2177.5375000000004
5752,245000.0,97.0,-6.63,4,Blue,O,4745.4625
8927,239000.0,35.0,-7.34,4,Blue,O,1570.4624999999996
7282,131000.0,24.0,-7.22,4,Blue,O,3215.4624999999996
19923,152000.0,73.0,-5.69,4,Blue,O,9425.5375
26373,198000.0,39.0,-5.83,4,Blue,O,15875.5375
17383,342900.0,30.0,-6.09,4,Blue,O,6885.5375
9373,424520.0,24.0,-5.99,4,Blue,O,1124.4624999999996
3570,320000.0,1480.0,-7.58,5,Red,M,6927.4625
3500,138000.0,1420.0,-8.18,5,Red,M,6997.4625
4287,630000.0,1315.0,-9.2,5,Orange,K,6210.4625
26000,316000.0,1679.0,-9.1,5,Blue,B,15502.5375
3600,240000.0,1190.0,-7.89,5,Red,M,6897.4625
3614,145000.0,1553.0,-7.71,5,Red,M,6883.4625
18000,200000.0,1045.0,-8.3,5,Blue,O,7502.5375
11000,170000.0,1779.0,-9.9,5,Blue-white,B,502.53750000000036
12100,120000.0,708.9,-7.84,5,Blue-white,B,1602.5375000000004
24490,248490.0,1134.5,-8.24,5,Blue-white,B,13992.5375
2831,0.000231,0.0915,16.21,0,Red,M,7666.4625
2914,0.000631,0.116,18.39,0,Red,M,7583.4625
3419,0.000245,0.126,17.56,0,Red,M,7078.4625
3218,0.000452,0.0987,17.34,0,Red,M,7279.4625
3453,0.000621,0.0773,17.08,0,Red,M,7044.4625
2889,0.000352,0.0973,16.93,0,Red,M,7608.4625
2968,0.000461,0.119,17.45,0,Red,M,7529.4625
3484,0.000551,0.0998,16.67,0,Red,M,7013.4625
2778,0.000849,0.112,19.45,0,Red,M,7719.4625
3523,0.000957,0.129,16.35,0,Red,M,6974.4625
3462,0.0053,0.148,11.47,1,Red,M,7035.4625
3257,0.0024,0.46,10.73,1,Red,M,7240.4625
2994,0.0072,0.28,13.45,1,Red,M,7503.4625
3212,0.0016,0.378,12.854,1,Red,M,7285.4625
3523,0.0054,0.319,12.43,1,Red,M,6974.4625
3598,0.0027,0.67,13.667,1,Red,M,6899.4625
3142,0.00132,0.258,14.12,1,Red,M,7355.4625
3496,0.00125,0.336,14.94,1,Red,M,7001.4625
3324,0.0065,0.471,12.78,1,Red,M,7173.4625
3463,0.0027,0.675,14.776,1,Red,M,7034.4625
16790,0.0014,0.0121,12.87,2,Blue,B,6292.5375
15680,0.00122,0.0114,11.92,2,Blue,B,5182.5375
14982,0.00118,0.0113,12.23,2,Blue,B,4484.5375
13340,0.00109,0.0116,12.9,2,Blue,B,2842.5375000000004
18340,0.00134,0.0124,11.22,2,Blue,B,7842.5375
19920,0.00156,0.0142,11.34,2,Blue,B,9422.5375
24020,0.00159,0.0127,10.55,2,Blue,B,13522.5375
23092,0.00132,0.0104,10.18,2,Blue,B,12594.5375
17920,0.00111,0.0106,11.66,2,Blue,B,7422.5375
19360,0.00125,0.00998,11.62,2,Blue,B,8862.5375
22350,12450.0,6.36,-3.67,3,Blue-white,B,11852.5375
10012,552.0,5.856,0.013,3,Blue-white,A,485.46249999999964
13089,788.0,5.992,-0.12,3,Blue-white,A,2591.5375000000004
22012,6748.0,6.64,-2.55,3,Blue-white,B,11514.5375
9320,29.0,1.91,1.236,3,Blue-white,A,1177.4624999999996
19400,10920.0,6.03,-3.08,3,Blue-white,B,8902.5375
17140,883.0,5.653,-2.64,3,Blue-white,B,6642.5375
